market,geometry,month,best_lambda,best_agreement,days
us,V0_expanding,2019-09,20.0,1.0,20
us,V0_expanding,2019-10,1.0,1.0,23
us,V0_expanding,2019-11,0.0,1.0,20
us,V0_expanding,2019-12,0.0,1.0,21
us,V0_expanding,2020-01,0.0,1.0,21
us,V0_expanding,2020-02,20.0,1.0,19
us,V0_expanding,2020-03,70.0,1.0,22
us,V0_expanding,2020-04,0.0,1.0,21
us,V0_expanding,2020-05,0.0,1.0,20
us,V0_expanding,2020-06,26.826957952797247,1.0,22
us,V0_expanding,2020-07,0.1,1.0,22
us,V0_expanding,2020-08,0.0,1.0,21
us,V0_expanding,2020-09,0.0,1.0,21
us,V0_expanding,2020-10,0.1,1.0,22
us,V0_expanding,2020-11,0.0,1.0,20
us,V0_expanding,2020-12,0.0,1.0,22
us,V0_expanding,2021-01,0.1,1.0,19
us,V0_expanding,2021-02,0.0,1.0,19
us,V0_expanding,2021-03,1.0,1.0,23
us,V0_expanding,2021-04,0.0,1.0,21
us,V0_expanding,2021-05,0.0,1.0,20
us,V0_expanding,2021-06,0.0,1.0,22
us,V0_expanding,2021-07,0.0,1.0,21
us,V0_expanding,2021-08,0.0,1.0,22
us,V0_expanding,2021-09,1.93069772888325,1.0,21
us,V0_expanding,2021-10,1.93069772888325,1.0,21
us,V0_expanding,2021-11,0.0,1.0,21
us,V0_expanding,2021-12,1.0,1.0,22
us,V0_expanding,2022-01,10.0,0.95,20
us,V0_expanding,2022-02,0.0,0.7368421052631579,19
us,V0_expanding,2022-03,1.93069772888325,1.0,23
us,V0_expanding,2022-04,0.0,0.8,20
us,V0_expanding,2022-05,0.0,1.0,21
us,V0_expanding,2022-06,0.0,1.0,21
us,V0_expanding,2022-07,0.0,1.0,20
us,V0_expanding,2022-08,13.894954943731374,1.0,23
us,V0_expanding,2022-09,0.0,1.0,21
us,V0_expanding,2022-10,0.0,1.0,21
us,V0_expanding,2022-11,1.0,1.0,21
us,V0_expanding,2022-12,1.93069772888325,1.0,21
us,V0_expanding,2023-01,4.641588833612778,1.0,20
us,V0_expanding,2023-02,30.0,0.7368421052631579,19
us,V0_expanding,2023-03,1.0,1.0,23
us,V0_expanding,2023-04,30.0,1.0,19
us,V0_expanding,2023-05,60.0,1.0,22
us,V0_expanding,2023-06,0.0,1.0,21
us,V0_expanding,2023-07,0.0,1.0,20
us,V0_expanding,2023-08,0.0,1.0,23
us,V0_expanding,2023-09,10.0,1.0,20
us,V0_expanding,2023-10,22.0,1.0,22
us,V0_expanding,2023-11,25.0,1.0,21
us,V0_expanding,2023-12,0.0,1.0,18
us,V1_window,1990-01,70.0,0.7727272727272727,22
us,V1_window,1990-02,0.0,1.0,19
us,V1_window,1990-03,0.0,1.0,22
us,V1_window,1990-04,0.0,0.7,20
us,V1_window,1990-05,0.0,0.8636363636363636,22
us,V1_window,1990-06,15.0,1.0,21
us,V1_window,1990-07,70.0,1.0,21
us,V1_window,1990-08,70.0,1.0,23
us,V1_window,1990-09,70.0,1.0,19
us,V1_window,1990-10,70.0,1.0,23
us,V1_window,1990-11,70.0,1.0,21
us,V1_window,1990-12,70.0,1.0,20
us,V1_window,1991-01,70.0,1.0,22
us,V1_window,1991-02,0.0,1.0,19
us,V1_window,1991-03,0.0,1.0,20
us,V1_window,1991-04,0.0,1.0,22
us,V1_window,1991-05,15.0,1.0,22
us,V1_window,1991-06,15.0,1.0,20
us,V1_window,1991-07,35.0,1.0,22
us,V1_window,1991-08,15.0,1.0,22
us,V1_window,1991-09,15.0,1.0,20
us,V1_window,1991-10,70.0,1.0,23
us,V1_window,1991-11,70.0,1.0,20
us,V1_window,1991-12,70.0,1.0,21
us,V1_window,1992-01,0.0,1.0,22
us,V1_window,1992-02,5.0,1.0,19
us,V1_window,1992-03,35.0,1.0,22
us,V1_window,1992-04,70.0,1.0,21
us,V1_window,1992-05,70.0,1.0,20
us,V1_window,1992-06,70.0,1.0,22
us,V1_window,1992-07,35.0,1.0,22
us,V1_window,1992-08,35.0,1.0,21
us,V1_window,1992-09,35.0,1.0,21
us,V1_window,1992-10,35.0,1.0,22
us,V1_window,1992-11,35.0,1.0,20
us,V1_window,1992-12,0.0,1.0,22
us,V1_window,1993-01,5.0,1.0,20
us,V1_window,1993-02,15.0,1.0,19
us,V1_window,1993-03,0.0,1.0,23
us,V1_window,1993-04,35.0,1.0,21
us,V1_window,1993-05,35.0,1.0,20
us,V1_window,1993-06,35.0,1.0,22
us,V1_window,1993-07,35.0,1.0,21
us,V1_window,1993-08,35.0,1.0,22
us,V1_window,1993-09,5.0,1.0,21
us,V1_window,1993-10,0.0,1.0,21
us,V1_window,1993-11,15.0,1.0,21
us,V1_window,1993-12,15.0,1.0,22
us,V1_window,1994-01,15.0,1.0,21
us,V1_window,1994-02,35.0,1.0,19
us,V1_window,1994-03,35.0,1.0,23
us,V1_window,1994-04,150.0,1.0,19
us,V1_window,1994-05,150.0,1.0,21
us,V1_window,1994-06,150.0,1.0,22
us,V1_window,1994-07,70.0,1.0,20
us,V1_window,1994-08,70.0,1.0,23
us,V1_window,1994-09,70.0,1.0,21
us,V1_window,1994-10,70.0,1.0,21
us,V1_window,1994-11,70.0,1.0,21
us,V1_window,1994-12,70.0,1.0,21
us,V1_window,1995-01,70.0,1.0,21
us,V1_window,1995-02,70.0,1.0,19
us,V1_window,1995-03,0.0,1.0,23
us,V1_window,1995-04,0.0,1.0,19
us,V1_window,1995-05,0.0,1.0,22
us,V1_window,1995-06,0.0,1.0,22
us,V1_window,1995-07,0.0,1.0,20
us,V1_window,1995-08,0.0,1.0,23
us,V1_window,1995-09,0.0,1.0,20
us,V1_window,1995-10,0.0,1.0,22
us,V1_window,1995-11,0.0,1.0,21
us,V1_window,1995-12,0.0,1.0,20
us,V1_window,1996-01,15.0,1.0,22
us,V1_window,1996-02,0.0,1.0,20
us,V1_window,1996-03,5.0,1.0,21
us,V1_window,1996-04,35.0,1.0,21
us,V1_window,1996-05,70.0,1.0,22
us,V1_window,1996-06,5.0,1.0,20
us,V1_window,1996-07,70.0,1.0,22
us,V1_window,1996-08,70.0,1.0,22
us,V1_window,1996-09,70.0,1.0,20
us,V1_window,1996-10,0.0,1.0,23
us,V1_window,1996-11,0.0,1.0,20
us,V1_window,1996-12,5.0,1.0,21
us,V1_window,1997-01,5.0,1.0,22
us,V1_window,1997-02,0.0,1.0,19
us,V1_window,1997-03,35.0,1.0,20
us,V1_window,1997-04,70.0,1.0,22
us,V1_window,1997-05,70.0,1.0,21
us,V1_window,1997-06,0.0,1.0,21
us,V1_window,1997-07,0.0,1.0,22
us,V1_window,1997-08,15.0,1.0,21
us,V1_window,1997-09,35.0,1.0,21
us,V1_window,1997-10,35.0,1.0,23
us,V1_window,1997-11,150.0,1.0,19
us,V1_window,1997-12,150.0,1.0,22
us,V1_window,1998-01,150.0,1.0,20
us,V1_window,1998-02,150.0,1.0,19
us,V1_window,1998-03,0.0,1.0,22
us,V1_window,1998-04,5.0,1.0,21
us,V1_window,1998-05,15.0,1.0,20
us,V1_window,1998-06,35.0,1.0,22
us,V1_window,1998-07,35.0,1.0,22
us,V1_window,1998-08,70.0,1.0,21
us,V1_window,1998-09,70.0,1.0,21
us,V1_window,1998-10,150.0,1.0,22
us,V1_window,1998-11,70.0,1.0,20
us,V1_window,1998-12,70.0,1.0,22
us,V1_window,1999-01,5.0,1.0,19
us,V1_window,1999-02,15.0,1.0,19
us,V1_window,1999-03,150.0,1.0,23
us,V1_window,1999-04,5.0,1.0,21
us,V1_window,1999-05,150.0,1.0,20
us,V1_window,1999-06,150.0,1.0,22
us,V1_window,1999-07,70.0,1.0,21
us,V1_window,1999-08,70.0,1.0,22
us,V1_window,1999-09,70.0,1.0,21
us,V1_window,1999-10,70.0,1.0,21
us,V1_window,1999-11,70.0,1.0,21
us,V1_window,1999-12,5.0,1.0,22
us,V1_window,2000-01,70.0,0.85,20
us,V1_window,2000-02,0.0,1.0,20
us,V1_window,2000-03,5.0,0.8695652173913043,23
us,V1_window,2000-04,70.0,0.9473684210526315,19
us,V1_window,2000-05,0.0,1.0,22
us,V1_window,2000-06,0.0,1.0,22
us,V1_window,2000-07,0.0,1.0,20
us,V1_window,2000-08,0.0,1.0,23
us,V1_window,2000-09,0.0,1.0,20
us,V1_window,2000-10,0.0,1.0,22
us,V1_window,2000-11,0.0,1.0,21
us,V1_window,2000-12,0.0,1.0,20
us,V1_window,2001-01,0.0,1.0,21
us,V1_window,2001-02,0.0,1.0,19
us,V1_window,2001-03,0.0,1.0,22
us,V1_window,2001-04,0.0,1.0,20
us,V1_window,2001-05,0.0,1.0,22
us,V1_window,2001-06,0.0,1.0,21
us,V1_window,2001-07,0.0,1.0,21
us,V1_window,2001-08,0.0,1.0,23
us,V1_window,2001-09,0.0,1.0,15
us,V1_window,2001-10,0.0,1.0,23
us,V1_window,2001-11,0.0,1.0,21
us,V1_window,2001-12,0.0,1.0,20
us,V1_window,2002-01,0.0,1.0,21
us,V1_window,2002-02,0.0,1.0,19
us,V1_window,2002-03,5.0,1.0,20
us,V1_window,2002-04,0.0,1.0,22
us,V1_window,2002-05,0.0,1.0,22
us,V1_window,2002-06,0.0,1.0,20
us,V1_window,2002-07,0.0,1.0,22
us,V1_window,2002-08,0.0,1.0,22
us,V1_window,2002-09,0.0,1.0,20
us,V1_window,2002-10,0.0,1.0,23
us,V1_window,2002-11,0.0,1.0,20
us,V1_window,2002-12,0.0,1.0,21
us,V1_window,2003-01,0.0,1.0,21
us,V1_window,2003-02,0.0,1.0,19
us,V1_window,2003-03,0.0,1.0,21
us,V1_window,2003-04,5.0,1.0,21
us,V1_window,2003-05,35.0,0.8571428571428571,21
us,V1_window,2003-06,0.0,1.0,21
us,V1_window,2003-07,0.0,1.0,22
us,V1_window,2003-08,5.0,1.0,21
us,V1_window,2003-09,5.0,1.0,21
us,V1_window,2003-10,0.0,1.0,23
us,V1_window,2003-11,0.0,1.0,19
us,V1_window,2003-12,0.0,1.0,22
us,V1_window,2004-01,0.0,1.0,20
us,V1_window,2004-02,0.0,1.0,19
us,V1_window,2004-03,15.0,1.0,23
us,V1_window,2004-04,5.0,1.0,21
us,V1_window,2004-05,35.0,1.0,20
us,V1_window,2004-06,0.0,1.0,21
us,V1_window,2004-07,35.0,1.0,21
us,V1_window,2004-08,35.0,1.0,22
us,V1_window,2004-09,35.0,1.0,21
