fit_date,training_start,training_end,observations,scaler_mean,scaler_scale,lambda,objective_180,centers,active_state_count,collapsed_to_one_state,objective_60,delta,changed
2005-07-01,1993-08-17,2005-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3179.0007605828096,"[[0.23583687782036306, 0.2630988792242482, 0.38730781512455775], [3.0213984859154306, -0.8619675267561927, -1.0171083110811345]]",2,False,3179.0007605828096,0.0,False
2005-07-01,1993-08-17,2005-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3262.083782932556,"[[0.13454138135284183, 0.3265501537149678, 0.4881037735799963], [2.3358939676366934, -0.6577932814615369, -0.8318736410837905]]",2,False,3262.083782932556,0.0,False
2006-01-02,1994-02-18,2006-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3155.546058096845,"[[0.12621934480966104, 0.30813140144368617, 0.4431848112865658], [2.5639783931643647, -0.7064400286592354, -0.8649899980339308]]",2,False,3155.546058096845,0.0,False
2006-01-02,1994-02-18,2006-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3187.276478568872,"[[0.12621934480966104, 0.30813140144368617, 0.4431848112865658], [2.5639783931643647, -0.7064400286592354, -0.8649899980339308]]",2,False,3187.276478568872,0.0,False
2006-01-02,1994-02-18,2006-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3267.4543079156915,"[[0.10387458788128281, 0.33170034441446017, 0.48305718867788533], [2.3341954850825695, -0.6567452672120406, -0.8314435685381879]]",2,False,3267.4543079156915,0.0,False
2006-07-03,1994-08-23,2006-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3238.25550016198,"[[0.07390033393655644, 0.3721186004023949, 0.5396846335092597], [2.331833567183341, -0.6569271707643812, -0.8311911283261253]]",2,False,3238.25550016198,0.0,False
2006-07-03,1994-08-23,2006-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3263.639836539602,"[[0.07390033393655644, 0.3721186004023949, 0.5396846335092597], [2.331833567183341, -0.6569271707643812, -0.8311911283261253]]",2,False,3263.639836539602,0.0,False
2006-07-03,1994-08-23,2006-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3328.4650066617305,"[[-0.0024962244580874157, 0.44009129150577025, 0.6116022891566437], [1.9811302736581564, -0.5713543482143926, -0.6754565762525859]]",2,False,3328.4650066617305,0.0,False
2007-01-02,1995-02-22,2007-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3158.2764727879317,"[[-0.0848325186727923, 0.5335735991183826, 0.6831629363020254], [1.919625354590105, -0.5541425279719865, -0.5960031906022232]]",2,False,3158.276472787932,-4.547473508864641e-13,False
2007-01-02,1995-02-22,2007-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3182.2253667126897,"[[-0.02969316313860761, 0.4963402579212595, 0.6659404855591772], [1.9801162232038931, -0.5706162652978172, -0.6747809472332228]]",2,False,3182.2253667126897,0.0,False
2007-01-02,1995-02-22,2007-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3242.225366712688,"[[-0.02969316313860761, 0.4963402579212595, 0.6659404855591772], [1.9801162232038931, -0.5706162652978172, -0.6747809472332228]]",2,False,3242.225366712688,0.0,False
2007-07-02,1995-08-24,2007-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3105.6333865083934,"[[-0.11495207703858393, 0.6210844909248223, 0.7978737687139403], [1.8598743844792514, -0.5609245292406168, -0.5757141709891515]]",2,False,3105.6333865083934,0.0,False
2007-07-02,1995-08-24,2007-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3134.12843736137,"[[-0.09025980496449107, 0.5845554143485929, 0.7699114746126909], [1.918662055527878, -0.553448932944596, -0.5954439422670262]]",2,False,3134.12843736137,0.0,False
2007-07-02,1995-08-24,2007-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3200.203447269234,"[[-0.044796948199115456, 0.5474768499958698, 0.7520647898753922], [1.9686169164696468, -0.5570435219551706, -0.657866263239409]]",2,False,3200.203447269234,0.0,False
2008-01-02,1996-02-23,2008-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3105.8885135158407,"[[-0.10164059180240877, 0.5894554916258385, 0.7967984779204724], [1.861242617970605, -0.5610893789669339, -0.5760484966826889]]",2,False,3105.8885135158407,0.0,False
2008-01-02,1996-02-23,2008-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3131.5938289081737,"[[-0.07756922638609004, 0.5542923336828904, 0.7693771642558338], [1.9186620555278777, -0.5534489329445962, -0.5954439422670261]]",2,False,3131.5938289081737,0.0,False
2008-01-02,1996-02-23,2008-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3194.052437091449,"[[-0.02349359974178693, 0.5159544215168194, 0.748978056478377], [1.9786112534831217, -0.5681447890272395, -0.6733755038825343]]",2,False,3194.052437091449,0.0,False
2008-07-01,1996-08-27,2008-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3220.6125036295152,"[[-0.12177166111774924, 0.6720703014211894, 0.8622845758552281], [1.6536366438342949, -0.5515584932203866, -0.5558540777111536]]",2,False,3220.6125036295152,0.0,False
2008-07-01,1996-08-27,2008-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3255.515966148745,"[[-0.12177166111774924, 0.6720703014211894, 0.8622845758552281], [1.6536366438342949, -0.5515584932203866, -0.5558540777111536]]",2,False,3255.515966148745,0.0,False
2008-07-01,1996-08-27,2008-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3332.0769298152636,"[[-0.06189972569236124, 0.5929459228290485, 0.7945270116703382], [1.7418658229561053, -0.5538909460962985, -0.5955403491677113]]",2,False,3332.076929815264,-4.547473508864641e-13,False
2009-01-02,1997-03-03,2009-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3437.7516293661793,"[[0.06185818195590952, 0.4751041391100054, 0.6922477005601347], [2.065488349814293, -0.6970052804634267, -0.852657700982251]]",2,False,3437.7516293661797,-4.547473508864641e-13,False
2009-01-02,1997-03-03,2009-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3470.7663102338793,"[[0.05844154205925828, 0.49085683183590967, 0.7324337601422067], [1.935938518916502, -0.6441102807127728, -0.8152650412483095]]",2,False,3470.7663102338797,-4.547473508864641e-13,False
2009-01-02,1997-03-03,2009-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3540.766310233879,"[[0.05844154205925828, 0.49085683183590967, 0.7324337601422067], [1.935938518916502, -0.6441102807127728, -0.8152650412483095]]",2,False,3540.766310233879,0.0,False
2009-07-01,1997-09-02,2009-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3257.1132776039976,"[[0.2360266845963532, 0.25042963694035203, 0.35295808825282265], [2.9167729488978553, -0.8823201100141006, -1.0748517589377862]]",2,False,3257.1132776039976,0.0,False
2009-07-01,1997-09-02,2009-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3297.9165655416523,"[[0.031680449593059976, 0.43421338861571307, 0.5912261145086866], [2.042083922111814, -0.6661942009222308, -0.812843782663446]]",2,False,3297.9165655416523,0.0,False
2009-07-01,1997-09-02,2009-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3363.902022410912,"[[0.0012831611838053333, 0.4486024822404916, 0.6484923312578432], [1.8875714640614119, -0.5786394733300825, -0.752701529558439]]",2,False,3363.902022410912,0.0,False
2010-01-04,1998-03-10,2010-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,3136.874620101953,"[[0.21242059192232124, 0.25636105309669305, 0.33947303868412515], [2.9262679061803065, -0.887497938755773, -1.112578867914382]]",2,False,3136.874620101953,0.0,False
2010-01-04,1998-03-10,2010-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,3174.951124668384,"[[0.21242059192232124, 0.25636105309669305, 0.33947303868412515], [2.9262679061803065, -0.887497938755773, -1.112578867914382]]",2,False,3174.951124668384,0.0,False
2010-01-04,1998-03-10,2010-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,3245.5285318468827,"[[0.028216159188899945, 0.44485349780232125, 0.6129215651504071], [1.9201524182786935, -0.6344058666667981, -0.8439985277168153]]",2,False,3245.5285318468827,0.0,False
2010-07-01,1998-09-10,2010-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2954.7891340006026,"[[0.21555764248801013, 0.2024396730495101, 0.28246185963517073], [2.924982345404416, -0.8803693623010462, -1.146584005541151]]",2,False,2954.789134000602,4.547473508864641e-13,False
