agreement,grid
0.8758139534883721,3.72759|4.64159|5|13.895|21.5443|22|150|1000
0.8758139534883721,3.72759|13.895|22|40|70|150|220|1000
0.8758139534883721,3.72759|15|20|22|100|150|500|1000
0.8758139534883721,4.64159|5|13.895|21.5443|22|100|150|1000
0.8758139534883721,15|20|22|51.7947|60|150|500|1000
0.8755813953488372,3.72759|10|13.895|150|1000
0.8755813953488372,3.72759|10|13.895|150|500|1000
0.8753488372093023,5|15|22|40|100|150|1000
0.8753488372093023,5|15|20|22|40|100|150|1000
0.8753488372093023,5|15|21.5443|22|40|100|150|1000
0.8753488372093023,5|15|22|40|100|150|500|1000
0.8752325581395349,3.72759|13.895|22|70|150|220|1000
0.8752325581395349,3.72759|13.895|22|70|100|150|220|1000
0.8752325581395349,3.72759|13.895|22|70|150|220|500|1000
0.8751162790697674,3.72759|5|13.895|22|150|220|1000
0.8751162790697674,3.72759|5|13.895|20|22|150|220|1000
0.8751162790697674,3.72759|5|13.895|22|150|220|500|1000
0.875,3.72759|10|13.895|22|100|150|500
0.875,3.72759|10|13.895|20|22|100|150|500
0.875,3.72759|10|13.895|22|40|100|150|500
0.875,3.72759|5|13.895|20|100|150|220|1000
0.875,3.72759|5|13.895|22|100|150|220|1000
0.875,3.72759|13.895|20|22|70|150|220|1000
0.8748837209302326,0|10|13.895|15|21.5443|150|1000
0.8748837209302326,0|10|15|21.5443|22|150|1000
0.8748837209302326,3.72759|13.895|15|21.5443|22|70|150|500
0.8748837209302326,15|20|21.5443|35|51.7947|60|150|500
0.8748837209302326,15|20|21.5443|51.7947|60|150|220|500
0.8748837209302326,15|20|22|35|51.7947|60|150|500
0.8748837209302326,0|10|13.895|15|21.5443|22|150|1000
0.8748837209302326,3.72759|4.64159|5|13.895|22|150|220|1000
0.8747674418604651,3.72759|13.895|21.5443|22|70|150|500
0.8747674418604651,0|10|13.895|15|20|21.5443|150|1000
0.8747674418604651,0|10|15|20|21.5443|22|150|1000
0.8745348837209302,3.72759|13.895|15|22|40|70|150|500
0.8745348837209302,3.72759|13.895|20|21.5443|22|70|150|500
0.8745348837209302,4.64159|5|13.895|22|100|150|220|1000
0.8744186046511628,3.72759|13.895|21.5443|22|40|70|150|500
0.8744186046511628,15|20|22|70|80|150|220|1000
0.8743023255813953,15|20|21.5443|35|50|60|150|500
0.8743023255813953,15|20|21.5443|50|60|150|220|500
0.8743023255813953,15|20|22|35|50|60|150|500
0.8743023255813953,15|20|22|35|70|150|220|500
0.8743023255813953,15|20|22|51.7947|60|150|220|500
0.8743023255813953,15|20|21.5443|22|51.7947|70|150|1000
0.8741860465116279,3.72759|10|13.895|22|150|500
0.8741860465116279,3.72759|13.895|21.5443|22|70|100|150|500
0.8741860465116279,0|10|13.895|20|21.5443|22|150|1000
0.8741860465116279,3.72759|5|13.895|22|40|100|150|1000
0.8740697674418605,5|13.895|21.5443|22|100|150|1000
0.8740697674418605,3.72759|13.895|22|40|70|150|220|500
0.8740697674418605,5|13.895|20|21.5443|22|100|150|1000
0.8740697674418605,5|13.895|21.5443|22|100|150|500|1000
0.873953488372093,3.72759|13.895|15|22|70|150|500
0.873953488372093,3.72759|13.895|15|20|22|70|150|500
0.873953488372093,3.72759|13.895|15|22|70|100|150|500
0.873953488372093,15|20|22|40|51.7947|70|150|1000
0.8738372093023256,3.72759|13.895|22|40|70|150|1000
0.8738372093023256,15|20|22|35|51.7947|70|150|500
0.8738372093023256,3.72759|13.895|22|40|70|100|150|1000
0.8738372093023256,3.72759|13.895|22|40|70|150|500|1000
0.8737209302325581,80|150|1000
0.8737209302325581,80|150|500|1000
0.8737209302325581,15|20|22|50|60|150|220|500
0.8736046511627907,3.72759|13.895|20|22|40|70|150|1000
0.8734883720930232,3.72759|13.895|22|70|150|220|500
0.8734883720930232,3.72759|13.895|22|70|100|150|220|500
0.8733720930232558,15|20|22|51.7947|70|150|1000
0.8733720930232558,3.72759|13.895|21.5443|22|70|80|150|500
0.8733720930232558,15|20|22|51.7947|60|70|150|1000
0.8733720930232558,15|20|22|51.7947|70|150|500|1000
0.8732558139534884,3.72759|13.895|22|70|150|1000
0.8732558139534884,3.72759|13.895|22|70|100|150|1000
0.8732558139534884,3.72759|13.895|22|70|150|500|1000
0.8732558139534884,3.72759|13.895|20|22|70|150|220|500
0.8732558139534884,15|20|21.5443|22|70|150|220|500
0.8732558139534884,15|20|22|35|50|70|150|500
0.8732558139534884,3.72759|13.895|22|70|100|150|500|1000
0.873139534883721,80|100|150|1000
0.873139534883721,80|100|150|500|1000
0.873139534883721,3.72759|5|13.895|22|150|1000
0.873139534883721,3.72759|5|13.895|22|150|500|1000
0.8730232558139535,3.72759|5|13.895|20|100|150|1000
0.8730232558139535,3.72759|5|13.895|22|100|150|1000
0.8730232558139535,3.72759|13.895|20|22|70|150|1000
0.8730232558139535,3.72759|13.895|22|70|80|150|220|500
0.8730232558139535,3.72759|5|13.895|20|22|100|150|1000
0.8730232558139535,3.72759|5|13.895|20|100|150|500|1000
0.8730232558139535,3.72759|5|13.895|22|100|150|500|1000
0.8730232558139535,3.72759|13.895|20|22|70|100|150|1000
0.8730232558139535,3.72759|13.895|20|22|70|150|500|1000
0.872906976744186,15|20|21.5443|51.7947|60|150|500
0.872906976744186,3.72759|4.64159|5|13.895|22|150|1000
0.872906976744186,15|20|21.5443|22|51.7947|60|150|500
0.872906976744186,15|20|22|40|70|150|220|500
0.872906976744186,3.72759|4.64159|5|13.895|22|150|500|1000
0.8727906976744186,0|10|13.895|150|1000
0.8727906976744186,3.72759|4.64159|5|13.895|22|100|150|1000
0.8725581395348837,15|21.5443|22|150|220|500
0.8725581395348837,4.64159|5|13.895|22|100|150|1000
0.8725581395348837,15|20|21.5443|40|51.7947|60|150|500
0.8725581395348837,15|20|22|40|51.7947|60|150|500
0.8725581395348837,4.64159|5|13.895|20|22|100|150|1000
0.8725581395348837,4.64159|5|13.895|22|100|150|500|1000
0.8724418604651163,100|150|1000
0.8724418604651163,100|150|500|1000
0.8724418604651163,15|20|21.5443|150|220|500
0.8724418604651163,15|20|21.5443|22|150|220|500
