market,fit_date,lambda,jumps,objective,shifts_per_year
us,1987-07-01,65.0,2,2310.421746470683,0.16799999999999998
us,1988-01-04,0.55,2,2977.1267496032797,0.16799999999999998
us,1988-01-04,1.465348864441625,2,2978.9574473321627,0.16799999999999998
us,1988-01-04,5.459611390906074,2,2986.9459723850914,0.16799999999999998
us,1988-01-04,23.5,2,3023.0267496032793,0.16799999999999998
us,1988-01-04,37.5,2,3051.0267496032793,0.16799999999999998
us,1988-01-04,65.0,2,3106.0267496032793,0.16799999999999998
us,1988-07-01,0.55,2,3085.501016724231,0.16799999999999998
us,1988-07-01,1.465348864441625,2,3087.331714453114,0.16799999999999998
us,1988-07-01,5.459611390906074,2,3095.3202395060425,0.16799999999999998
us,1988-07-01,23.5,2,3131.4010167242304,0.16799999999999998
us,1988-07-01,37.5,2,3159.4010167242304,0.16799999999999998
us,1988-07-01,65.0,2,3214.4010167242304,0.16799999999999998
us,1989-01-03,0.55,2,3067.266664962037,0.16799999999999998
us,1989-01-03,1.465348864441625,2,3069.09736269092,0.16799999999999998
us,1989-01-03,5.459611390906074,2,3077.0858877438486,0.16799999999999998
us,1989-01-03,23.5,2,3113.1666649620365,0.16799999999999998
us,1989-01-03,37.5,2,3141.1666649620365,0.16799999999999998
us,1989-01-03,65.0,2,3196.1666649620365,0.16799999999999998
us,1989-07-03,0.55,2,3067.3079903568605,0.16799999999999998
us,1989-07-03,1.465348864441625,2,3069.1386880857435,0.16799999999999998
us,1989-07-03,5.459611390906074,2,3077.1272131386722,0.16799999999999998
us,1989-07-03,23.5,2,3113.20799035686,0.16799999999999998
us,1989-07-03,37.5,2,3141.20799035686,0.16799999999999998
us,1989-07-03,65.0,2,3196.20799035686,0.16799999999999998
de,1981-09-24,0.55,69,1906.997598915409,5.796
de,1981-09-24,2.829145724599095,45,2032.624833216404,3.78
de,1981-09-24,8.59842836500576,27,2222.4595282976657,2.268
de,1981-09-24,23.5,15,2496.7998881497124,1.26
de,1981-09-24,90.0,4,3168.1615244468753,0.33599999999999997
de,1981-09-24,185.0,1,3397.979971675414,0.08399999999999999
de,1982-01-04,0.55,68,1922.4322366351068,5.712
de,1982-01-04,2.829145724599095,42,2046.0066244076324,3.528
de,1982-01-04,8.59842836500576,26,2232.133030201154,2.1839999999999997
de,1982-01-04,23.5,14,2495.51715228665,1.176
de,1982-01-04,90.0,3,3155.608165553282,0.252
de,1982-01-04,185.0,3,3440.6081655532794,0.252
de,1982-07-01,0.55,74,1802.6656848252344,6.216
de,1982-07-01,2.829145724599095,44,1929.5012453985814,3.6959999999999997
de,1982-07-01,8.59842836500576,28,2120.355036176618,2.352
de,1982-07-01,23.5,14,2393.9814155225254,1.176
