market,delay,basis,metric,ours,shu,deviation,within_tol
jp,10,total_wealth,volatility,0.16478571090117358,0.16,0.004785710901173579,True
jp,10,risky_leg_wealth_flat_in_cash,volatility,0.16478571090117358,0.16,0.004785710901173579,True
jp,1,total_wealth,sharpe,0.17710231189905581,0.19,0.012897688100944188,True
jp,1,risky_leg_wealth_flat_in_cash,sharpe,0.17710231189905581,0.19,0.012897688100944188,True
jp,5,total_wealth,sharpe,0.14457693576275749,0.19,0.045423064237242516,True
jp,5,risky_leg_wealth_flat_in_cash,sharpe,0.14457693576275749,0.19,0.045423064237242516,True
jp,10,total_wealth,sharpe,0.09433645191715484,0.19,0.09566354808284516,False
jp,10,risky_leg_wealth_flat_in_cash,sharpe,0.09433645191715484,0.19,0.09566354808284516,False
jp,1,total_wealth,maximum_drawdown,-0.5173253550929867,-0.486,0.03132535509298673,True
jp,1,risky_leg_wealth_flat_in_cash,maximum_drawdown,-0.510087343941346,-0.486,0.02408734394134604,True
jp,5,total_wealth,maximum_drawdown,-0.5260849053817143,-0.486,0.040084905381714275,True
jp,5,risky_leg_wealth_flat_in_cash,maximum_drawdown,-0.5160776907885205,-0.486,0.030077690788520517,True
jp,10,total_wealth,maximum_drawdown,-0.5530255291265995,-0.486,0.06702552912659954,False
jp,10,risky_leg_wealth_flat_in_cash,maximum_drawdown,-0.5213013264748116,-0.486,0.035301326474811656,True
jp,1,total_wealth,calmar,0.054707873171205124,0.06,0.005292126828794874,True
jp,1,risky_leg_wealth_flat_in_cash,calmar,0.05548416413548606,0.06,0.004515835864513935,True
jp,5,total_wealth,calmar,0.04475242885889286,0.06,0.015247571141107134,True
jp,5,risky_leg_wealth_flat_in_cash,calmar,0.04562021905240677,0.06,0.014379780947593228,True
jp,10,total_wealth,calmar,0.028109550959814874,0.06,0.03189044904018512,True
jp,10,risky_leg_wealth_flat_in_cash,calmar,0.029820179814589166,0.06,0.030179820185410832,True
jp,1,total_wealth,expected_shortfall_5pct,-0.025137238548276552,-0.025,0.0001372385482765505,True
jp,1,risky_leg_wealth_flat_in_cash,expected_shortfall_5pct,-0.025137238548276552,-0.025,0.0001372385482765505,True
jp,5,total_wealth,expected_shortfall_5pct,-0.025704343653573408,-0.025,0.0007043436535734068,True
jp,5,risky_leg_wealth_flat_in_cash,expected_shortfall_5pct,-0.025704343653573408,-0.025,0.0007043436535734068,True
jp,10,total_wealth,expected_shortfall_5pct,-0.026147604552452505,-0.025,0.0011476045524525039,True
jp,10,risky_leg_wealth_flat_in_cash,expected_shortfall_5pct,-0.026147604552452505,-0.025,0.0011476045524525039,True
jp,1,total_wealth,turnover,3.1439539347408827,2.9,0.24395393474088278,False
jp,1,risky_leg_wealth_flat_in_cash,turnover,3.1439539347408827,2.9,0.24395393474088278,False
jp,5,total_wealth,turnover,3.0532629558541267,2.9,0.15326295585412675,False
jp,5,risky_leg_wealth_flat_in_cash,turnover,3.0532629558541267,2.9,0.15326295585412675,False
jp,10,total_wealth,turnover,3.7787907869481767,2.9,0.8787907869481768,False
jp,10,risky_leg_wealth_flat_in_cash,turnover,3.7787907869481767,2.9,0.8787907869481768,False
jp,1,total_wealth,leverage,0.6795825335892515,0.68,0.00041746641074857926,True
jp,1,risky_leg_wealth_flat_in_cash,leverage,0.6795825335892515,0.68,0.00041746641074857926,True
jp,5,total_wealth,leverage,0.6764635316698656,0.68,0.0035364683301344346,True
jp,5,risky_leg_wealth_flat_in_cash,leverage,0.6764635316698656,0.68,0.0035364683301344346,True
jp,10,total_wealth,leverage,0.677063339731286,0.68,0.0029366602687140864,True
jp,10,risky_leg_wealth_flat_in_cash,leverage,0.677063339731286,0.68,0.0029366602687140864,True
